iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
NZL,Oceania,New Zealand,2023-02-15,2200328.0,424340.476,2513.0,484.64,,,,,,0.931,,36085.843
NIC,North America,Nicaragua,2023-02-15,15627.0,2249.009,245.0,35.26,,,,,,0.66,,5321.444
NER,Africa,Niger,2023-02-15,9508.0,362.79,315.0,12.019,,,,,,0.394,,926.0
NGA,Africa,Nigeria,2023-02-15,266463.0,1219.28,3155.0,14.437,,,,,,0.539,,5338.454
NIU,Oceania,Niue,2022-10-18,,,,,,,,252.05,83.81,,,
PRK,Asia,North Korea,2023-02-15,1.0,0.038,6.0,0.23,,,,,,,,
MKD,Europe,North Macedonia,2023-02-15,346733.0,165615.211,9653.0,4610.705,,,,,,0.774,,13111.214
MNP,Oceania,Northern Mariana Islands,2021-12-04,,,,,,,1194.6,,,,,
NOR,Europe,Norway,2023-02-15,1478489.0,272064.934,5152.0,948.048,,,,,,0.957,,64800.057
OMN,Asia,Oman,2023-02-15,399449.0,87286.454,4628.0,1011.297,,,,,,0.813,,37960.709
PAK,Asia,Pakistan,2023-02-15,1576603.0,6685.482,30641.0,129.931,,,,,,0.557,,5034.708
PLW,Oceania,Palau,2023-02-15,5988.0,331121.433,9.0,497.678,,,,,,0.826,,13240.405
PSE,Asia,Palestine,2023-02-15,703228.0,133946.251,5708.0,1087.222,,,,,,0.708,,4449.898
PAN,North America,Panama,2023-02-15,1030658.0,233784.469,8600.0,1950.741,,,,,,0.815,,22267.037
PNG,Oceania,Papua New Guinea,2023-02-15,46792.0,4613.401,670.0,66.058,,,,,,0.555,,3823.194
PRY,South America,Paraguay,2023-02-15,806790.0,118982.501,19843.0,2926.375,,,,,,0.728,,8827.01
PER,South America,Peru,2023-02-15,4484029.0,131691.138,219293.0,6440.401,,,,,,0.777,,12236.706
PHL,Asia,Philippines,2023-02-15,4075049.0,35263.794,65985.0,571.007,,,,,,0.718,,7599.188
PCN,Oceania,Pitcairn,2022-08-29,,,,,,,,248.94,100.0,,,
POL,Europe,Poland,2023-02-15,6394131.0,160426.221,118800.0,2980.645,,,,,,0.88,,27216.445
PRT,Europe,Portugal,2023-02-15,5566314.0,541952.244,26103.0,2541.463,,,,,,0.864,,27936.896
PRI,North America,Puerto Rico,2022-06-18,,,,,,,927.239,,,,,35044.67
QAT,Asia,Qatar,2023-02-15,493198.0,182995.929,686.0,254.533,,,,,,0.848,,116935.6
ROU,Europe,Romania,2023-02-15,3331005.0,169436.861,67650.0,3441.125,,,,,,0.828,,23313.199
RUS,Europe,Russia,2023-02-15,21796612.0,150619.26,387689.0,2679.014,,,,,,0.824,,24765.954
